"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2025","22.71","25.00","26.41","19.29","2.20B","-4.30%"
"01-02-2025","23.73","18.97","27.55","18.78","2.31B","22.13%"
"01-01-2025","19.43","20.23","22.41","18.73","1.47B","-3.09%"
"01-12-2024","20.05","24.84","25.48","18.90","1.68B","-16.63%"
"01-11-2024","24.05","23.00","26.43","21.91","1.44B","11.76%"
"01-10-2024","21.52","23.46","23.82","21.47","1.27B","-8.27%"
"01-09-2024","23.46","21.54","24.66","18.51","2.13B","6.44%"
"01-08-2024","22.04","30.43","30.71","18.84","2.01B","-28.30%"
"01-07-2024","30.74","30.91","37.16","30.00","1.19B","-0.74%"
"01-06-2024","30.97","31.03","31.48","29.94","753.49M","0.39%"
"01-05-2024","30.85","30.17","32.42","29.73","1.02B","1.25%"
"01-04-2024","30.47","44.29","45.41","30.42","1.26B","-31.02%"
