"Date","Price","Open","High","Low","Vol.","Change %"
"29-09-2025","34.48","34.52","35.05","33.73","152.61M","-2.87%"
"26-09-2025","35.50","35.01","36.30","34.49","268.58M","4.44%"
"25-09-2025","33.99","31.61","34.25","31.21","295.71M","8.87%"
"24-09-2025","31.22","29.38","31.70","29.23","164.46M","6.41%"
"23-09-2025","29.34","28.99","30.20","28.82","126.32M","2.02%"
"22-09-2025","28.76","29.67","30.10","28.73","130.31M","-2.77%"
"19-09-2025","29.58","30.38","30.63","29.33","225.70M","-3.24%"
"18-09-2025","30.57","31.78","32.38","30.16","523.91M","22.77%"
"17-09-2025","24.90","25.08","25.26","24.45","63.09M","-1.46%"
"16-09-2025","25.27","24.82","25.34","24.69","60.34M","2.02%"
"15-09-2025","24.77","24.33","25.46","24.22","83.95M","2.87%"
"12-09-2025","24.08","24.61","24.63","24.05","52.67M","-2.15%"
"11-09-2025","24.61","24.76","24.93","24.57","55.54M","-0.65%"
"10-09-2025","24.77","24.42","24.87","24.28","61.60M","1.35%"
"09-09-2025","24.44","24.53","24.81","24.27","42.15M","-0.16%"
"08-09-2025","24.48","24.48","24.74","24.12","51.12M","-0.04%"
"05-09-2025","24.49","24.60","24.71","24.17","55.98M","-0.49%"
"04-09-2025","24.61","23.85","24.64","23.75","59.06M","2.54%"
"03-09-2025","24.00","24.09","24.09","23.72","47.82M","-0.87%"
"02-09-2025","24.21","23.88","24.24","23.68","57.66M","-0.57%"
"29-08-2025","24.35","24.76","24.97","24.28","63.73M","-2.33%"
"28-08-2025","24.93","24.96","25.14","24.61","60.04M","0.32%"
"27-08-2025","24.85","24.19","24.99","24.05","90.93M","2.05%"
"26-08-2025","24.35","24.58","24.74","24.10","78.56M","-0.81%"
"25-08-2025","24.55","25.50","25.88","24.44","156.83M","-1.01%"
"22-08-2025","24.80","23.65","25.23","23.65","200.27M","5.53%"
"21-08-2025","23.50","23.52","23.57","22.77","97.72M","-0.17%"
"20-08-2025","23.54","24.90","24.93","23.33","161.15M","-6.99%"
"19-08-2025","25.31","24.94","26.53","24.94","297.66M","6.97%"
"18-08-2025","23.66","24.00","24.90","23.21","212.52M","-3.66%"
"15-08-2025","24.56","25.01","25.65","24.11","310.16M","2.93%"
"14-08-2025","23.86","21.99","24.20","21.90","188.05M","7.38%"
"13-08-2025","22.22","21.62","22.30","21.36","86.02M","1.88%"
"12-08-2025","21.81","21.20","21.86","20.76","134.49M","5.62%"
"11-08-2025","20.65","20.44","21.60","20.44","175.55M","3.51%"
"08-08-2025","19.95","20.00","20.02","19.61","75.42M","0.91%"
"07-08-2025","19.77","20.00","20.44","19.60","131.38M","-3.14%"
"06-08-2025","20.41","20.12","20.48","19.87","67.07M","1.09%"
"05-08-2025","20.19","19.70","20.53","19.68","97.34M","3.54%"
"04-08-2025","19.50","19.51","19.59","19.35","69.25M","0.98%"
"01-08-2025","19.31","19.50","19.55","18.97","86.50M","-2.47%"
"31-07-2025","19.80","20.17","20.23","19.66","90.67M","-2.65%"
"30-07-2025","20.34","20.43","20.62","20.08","67.42M","-0.34%"
"29-07-2025","20.41","20.69","20.84","20.34","100.83M","-1.31%"
"28-07-2025","20.68","20.82","21.29","20.65","86.11M","-0.10%"
"25-07-2025","20.70","20.67","21.05","20.36","245.08M","-8.53%"
"24-07-2025","22.63","23.49","23.58","22.60","131.96M","-3.66%"
"23-07-2025","23.49","23.25","23.62","22.92","68.71M","1.08%"
